【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
RG6:右端,RG6,G6,R層,右端,,500×800(Fc24),4/2-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@150,SD295A
RG11:全断面,RG11,G11,R層,全断面,,350×680(Fc24),3/1-D19,3-D19,SD345,SD345,50/28.5,50,2-D10@200,SD295A
RG12:全断面,RG12,G12,R層,全断面,,350×680(Fc24),3/1-D19,3-D19,SD345,SD345,50/28.5,50,2-D10@200,SD295A
15G6:左端,15G6,G6,15層,左端,,500×800(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
15G6:中央,15G6,G6,15層,中央,,500×800(Fc27),4-D29,4-D29,SD390,SD390,50,50,3-D13@150,SD295A
15G6:右端,15G6,G6,15層,右端,,500×800(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
15G11:全断面,15G11,G11,15層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
15G12:全断面,15G12,G12,15層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
14G6:左端,14G6,G6,14層,左端,,500×800(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
14G6:中央,14G6,G6,14層,中央,,500×800(Fc27),4-D32,4-D32,SD390,SD390,50,50,4-D13@150,SD295A
14G6:右端,14G6,G6,14層,右端,,500×800(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
14G11:全断面,14G11,G11,14層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
