【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
8C4,8C4,C4,8F階,,800×800(Fc27),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
8C5,8C5,C5,8F階,,800×800(Fc27),6-D25,"2-D25,2-D19",SD345,50,2-TA13@100,2-TA13@100,SPR685
7C1,7C1,C1,7F階,,900×800(Fc27),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
7C2,7C2,C2,7F階,,1000×1500(Fc27),11-D25,"2-D25,5-D22",SD345,50,3-D13@100,2-D13@100,SD295A
7C3,7C3,C3,7F階,,1000×800(Fc27),6-D25,"2-D25,3-D19",SD345,50,2-D13@100,2-D13@100,SD295A
7C4,7C4,C4,7F階,,900×800(Fc27),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
7C5,7C5,C5,7F階,,900×800(Fc27),6-D25,"2-D25,2-D19",SD345,50,2-TA13@100,2-TA13@100,SPR685
6C1,6C1,C1,6F階,,900×800(Fc30),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
6C2,6C2,C2,6F階,,1000×1600(Fc30),11-D25,"2-D25,5-D22",SD345,50,3-D13@100,2-D13@100,SD295A
6C3,6C3,C3,6F階,,1000×800(Fc30),6-D25,"2-D25,3-D19",SD345,50,2-D13@100,2-D13@100,SD295A
6C4,6C4,C4,6F階,,900×800(Fc30),6-D25,"2-D25,2-D19",SD345,50,2-D13@100,2-D13@100,SD295A
6C5,6C5,C5,6F階,,900×800(Fc30),6-D25,"2-D25,2-D19",SD345,50,2-TA13@100,2-TA13@100,SPR685
5C1,5C1,C1,5F階,,900×900(Fc30),6-D25,"2-D25,2-D19",SD345,50,3-D13@100,2-D13@100,SD295A
5C2,5C2,C2,5F階,,1100×1600(Fc30),11-D25,"2-D25,5-D22",SD345,50,4-D13@100,2-D13@100,SD295A
5C3,5C3,C3,5F階,,1000×800(Fc30),6-D25,"2-D25,3-D19",SD345,50,3-D13@100,2-D13@100,SD295A
5C4,5C4,C4,5F階,,900×900(Fc30),6-D25,"2-D25,3-D22",SD345,50,3-D13@100,2-D13@100,SD295A
5C5,5C5,C5,5F階,,900×900(Fc30),6-D25,"2-D25,3-D22",SD345,50,2-TA13@100,2-TA13@100,SPR685
4C1,4C1,C1,4F階,,900×900(Fc30),7-D25,"2-D25,3-D19",SD345,50,3-D13@100,2-D13@100,SD295A
4C2,4C2,C2,4F階,,1100×1600(Fc30),11-D25,"2-D25,5-D22",SD345,50,4-D13@100,2-D13@100,SD295A
